,title,genres,imdb_score
620,Aagey Se Right,  comedy    crime    drama  ,5.2
627,I Hate Luv Storys,  drama    romance    comedy  ,5.6
629,Welcome to Sajjanpur,  comedy    drama  ,6.9
631,I Am Kalam,  comedy    drama    family  ,8.0
637,Main Aurr Mrs Khanna,  drama    comedy    romance  ,3.5
641,Chance Pe Dance,  drama    music    romance    comedy  ,4.8
651,Shootout at Lokhandwala,  crime    action    history  ,7.1
654,Interview with a Serial Killer,  documentation    crime  ,5.9
658,Dhoondte Reh Jaaoge,  comedy    drama  ,5.6
663,Hattrick,  romance    drama    comedy    sport  ,4.3
664,Harishchandrachi Factory,  comedy    drama  ,8.4
667,What's Your Raashee?,  comedy    drama    romance  ,4.8
684,A Very Special Love,  romance    drama    comedy  ,6.5
692,Chhota Bheem Aur Krishna,  animation    fantasy  ,6.4
701,Hop,  comedy    fantasy    animation    family  ,5.4
702,"Crazy, Stupid, Love.",  romance    comedy    drama  ,7.4
705,Margin Call,  thriller    drama  ,7.1
706,Django Unchained,  western    drama  ,8.4
708,Looper,  thriller    scifi    drama    crime    action  ,7.4
711,Argo,  drama    thriller  ,7.7
713,Midnight in Paris,  fantasy    romance    comedy  ,7.7
716,Warrior,  drama    action    sport  ,8.2
718,Les Misérables,  drama    romance    history    war  ,7.5
720,The Girl with the Dragon Tattoo,  crime    thriller    drama  ,7.8
721,Contagion,  thriller    scifi    action    drama  ,6.8
722,Battleship,  scifi    thriller    action    documentation  ,5.8
723,Killing Them Softly,  crime    thriller    drama  ,6.2
724,Just Go with It,  romance    comedy  ,6.4
725,Dark Shadows,  comedy    fantasy    horror  ,6.2
726,Sherlock Holmes: A Game of Shadows,  crime    thriller    action  ,7.4
727,Silver Linings Playbook,  drama    romance    comedy  ,7.7
730,Sucker Punch,  fantasy    thriller    action  ,6.0
734,Total Recall,  thriller    scifi    crime    action  ,6.2
736,Project X,  comedy  ,6.6
737,Berserk: The Golden Age Arc I - The Egg of the King,  fantasy    war    animation    action    drama    horror  ,7.5
738,Soul Surfer,  drama    family    sport  ,7.0
740,Final Destination 5,  horror    thriller    action    fantasy    documentation    european  ,5.9
741,Puss in Boots,  comedy    animation    family    fantasy    action  ,6.6
742,Savages,  thriller    action    crime    drama  ,6.4
744,Hall Pass,  romance    comedy  ,5.9
747,Rurouni Kenshin Part I: Origins,  drama    war    action    history  ,7.4
748,Unknown,  action    thriller    european  ,6.8
752,The Rite,  drama    thriller    horror  ,6.0
756,Mean Girls 2,  comedy  ,4.1
757,A Very Harold & Kumar Christmas,  comedy    fantasy    romance  ,6.2
762,Red Riding Hood,  fantasy    thriller    horror    drama    romance  ,5.4
765,New Year's Eve,  comedy    romance    documentation  ,5.6
766,The Smurfs,  fantasy    comedy    family    animation  ,5.4
767,Jack and Jill,  comedy    horror  ,3.3
768,Everything Must Go,  comedy    drama  ,6.4
772,One Piece Film: Z,  action    animation    fantasy  ,7.8
774,Arthur Christmas,  drama    animation    family    comedy    fantasy  ,7.1
780,Quartet,  romance    comedy    drama    music  ,6.8
781,Berserk: The Golden Age Arc II - The Battle for Doldrey,  fantasy    drama    horror    animation    action  ,7.7
784,Bill Burr: You People Are All The Same,  comedy  ,8.2
785,Bully,  drama    documentation  ,7.4
789,A Princess for Christmas,  comedy    family    romance    drama  ,6.3
790,Middle of Nowhere,  drama  ,6.5
791,Zindagi Na Milegi Dobara,  comedy    drama  ,8.1
794,Escape from Planet Earth,  comedy    family    scifi    animation  ,5.8
797,Undefeated,  documentation    sport  ,7.7
803,Barfi!,  drama    comedy    romance  ,8.1
809,Joan Rivers: Don't Start with Me,  comedy  ,6.6
812,Naruto Shippuden the Movie: Blood Prison,  horror    thriller    animation    action    fantasy    comedy  ,7.1
815,Tiger & Bunny: The Beginning,  scifi    animation    action  ,6.7
817,Pyaar Ka Punchnama,  romance    comedy    drama    european  ,7.7
818,Big Time Movie,  comedy    family    music  ,6.1
824,Jeff Dunham: Minding the Monsters,  comedy  ,7.0
826,Chillar Party,  drama    comedy    family  ,7.5
828,Kyaa Super Kool Hain Hum,  drama    comedy  ,5.0
832,Rowdy Rathore,  crime    action    comedy  ,5.9
834,OMG: Oh My God!,  fantasy    drama    comedy  ,8.1
835,6 Bullets,  thriller    drama    action    crime  ,6.0
843,Shaitan,  action    crime    thriller    drama  ,7.3
844,Paan Singh Tomar,  drama    sport    thriller    action    crime  ,8.2
847,Game,  thriller    drama    action    crime    european  ,5.2
848,Lavell Crawford: Can a Brother Get Some Love?,  comedy    documentation  ,6.9
850,Arjun: The Warrior Prince,  animation    action    drama  ,6.7
854,Tere Naal Love Ho Gaya,  romance    drama    comedy  ,5.8
855,FRED 3: Camp Fred,  comedy    family  ,2.0
856,Kalakalappu,  comedy  ,6.9
858,Katt Williams: Kattpacalypse,  comedy  ,5.5
859,No One Killed Jessica,  crime    drama    thriller  ,7.2
860,Luv Shuv Tey Chicken Khurana,  comedy  ,6.6
861,Ragini MMS,  horror    drama    thriller  ,5.1
870,Tita Rahiba,  comedy    drama  ,5.2
871,Ek Main Aur Ekk Tu,  drama    comedy    romance  ,5.8
