,title,genres,imdb_score
3403,Doom: Annihilation,  scifi    horror    thriller    action  ,3.7
3414,Ip Man 4: The Finale,  drama    history    action  ,7.0
3415,Ophelia,  drama    history    romance    thriller    war  ,6.6
3416,After We Collided,  romance    drama  ,5.0
3423,Dick Johnson Is Dead,  documentation    drama  ,7.4
3424,American Murder: The Family Next Door,  crime    documentation  ,7.2
3425,Rust Creek,  thriller    crime    drama    horror  ,5.9
3430,Eli,  horror    thriller    drama  ,5.8
3435,Klaus,  comedy    family    animation    european  ,8.1
3437,Fatima,  drama    war  ,6.6
3438,Sword of Trust,  comedy    drama  ,6.3
3442,The Last Thing He Wanted,  drama    thriller    crime  ,4.3
3447,The Vanished,  thriller    crime    action  ,5.7
3459,Concrete Cowboy,  western    drama  ,6.3
3463,Charlie Says,  crime    drama    documentation  ,5.9
3474,Lost Girls,  thriller    crime    drama  ,6.1
3475,We Can Be Heroes,  fantasy    comedy    family    action    drama  ,4.7
3478,Violet Evergarden: The Movie,  fantasy    romance    animation    drama  ,8.3
3482,Paddleton,  drama    comedy  ,7.1
3485,Vampires vs. the Bronx,  comedy    horror  ,5.7
3495,The Life Ahead,  drama    european  ,6.8
3504,Project Power,  action    crime    scifi    thriller  ,6.0
3510,Rim of the World,  comedy    scifi    action  ,5.2
3513,Death of Me,  horror    thriller  ,4.4
3516,The Best of Enemies,  drama    history  ,7.3
3520,Hubie Halloween,  thriller    horror    fantasy    comedy  ,5.2
3524,Ala Vaikunthapurramuloo,  drama    action    comedy  ,7.5
3526,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,  comedy    romance    scifi  ,7.0
3536,Ride Like a Girl,  drama    sport  ,7.0
3537,Miss Americana,  documentation    music  ,7.4
3538,Dave Chappelle: Sticks & Stones,  comedy  ,8.4
3540,The Babysitter: Killer Queen,  horror    comedy  ,5.8
3541,To All the Boys: P.S. I Still Love You,  romance    comedy    drama  ,6.0
3542,The Forty-Year-Old Version,  comedy    drama  ,7.2
3544,Triple Threat,  thriller    action  ,5.6
3545,The Willoughbys,  comedy    animation    drama    family    fantasy  ,6.3
3550,Tall Girl,  comedy    drama    family    romance  ,5.2
3563,2 Hearts,  romance    drama  ,6.2
3566,Audrey,  documentation    history  ,7.1
3569,Wasp Network,  drama    thriller    crime  ,5.9
3573,Ghosts of War,  horror    thriller    fantasy    war  ,5.5
3577,The Perfect Date,  romance    comedy  ,5.8
3579,Bigfoot Family,  animation    action    family  ,5.8
3581,Barbie: Princess Adventure,  music    animation    family  ,5.4
3583,This Changes Everything,  documentation  ,7.6
3588,Friendsgiving,  comedy    drama  ,4.4
3589,Poms,  comedy    drama    sport  ,6.0
3594,Close,  thriller    action    drama  ,5.7
3595,Making The Witcher,  documentation  ,6.8
3602,Stand by Me Doraemon 2,  animation    comedy    drama    family    fantasy    scifi  ,7.7
3605,Cuties,  drama    european  ,3.3
3613,Pokémon: Mewtwo Strikes Back - Evolution,  animation    action    fantasy    family  ,5.7
3615,The Stand In,  comedy    drama  ,4.7
3616,The Boys in the Band,  drama  ,6.8
3620,Let It Snow,  comedy    romance  ,5.8
3621,The Decline,  thriller    action  ,6.0
3630,Lying and Stealing,  crime    drama    comedy  ,5.4
3634,Becoming,  documentation  ,6.8
3639,Athlete A,  documentation    crime    sport  ,7.6
3650,The Lost Husband,  romance    drama  ,6.1
3655,The Wedding Guest,  thriller  ,5.8
3658,Then Came You,  comedy    drama  ,6.9
3669,Otherhood,  comedy  ,6.1
3671,Jingle Jangle: A Christmas Journey,  music    family    fantasy  ,6.5
3683,Inside Man: Most Wanted,  thriller    action    crime  ,5.6
3705,Earthquake Bird,  romance    thriller    crime    drama  ,5.9
3709,Cut Throat City,  crime    thriller    action    drama  ,4.8
3711,Tigertail,  drama  ,6.6
3713,Knock Down the House,  documentation  ,7.1
3731,Freaks – You're One of Us,  thriller    fantasy    scifi    action    drama  ,5.4
3748,Homecoming: A Film by Beyoncé,  music    documentation  ,7.4
3753,Sergio,  drama    history    romance    documentation  ,6.2
3768,Benchwarmers 2: Breaking Balls,  comedy    sport  ,4.1
3780,Undercover Brother 2,  action    comedy  ,3.4
3797,Legacy of Lies,  thriller    action  ,5.0
3817,Lady Driver,  drama    sport  ,5.8
3819,Captain Underpants: Mega Blissmas,  comedy    animation    family  ,5.3
3824,Hard Kill,  thriller    action  ,3.4
3830,Work It,  music    comedy  ,6.1
3832,Bethany Hamilton: Unstoppable,  documentation    sport  ,7.4
3833,Jungle Beat: The Movie,  scifi    fantasy    animation    comedy    family  ,5.5
3841,Feel the Beat,  drama    comedy    family  ,6.3
3842,Debt Collectors,  comedy    action  ,5.7
3844,All Together Now,  drama  ,6.5
3869,Wheels of Fortune,  comedy  ,5.3
3871,The Grizzlies,  drama    sport  ,7.5
3882,The F**k-It List,  comedy  ,5.1
3889,Super Deluxe,  thriller    action    comedy    crime    drama  ,8.4
3895,Villain,  drama    thriller    action    crime  ,5.9
3896,"Oh, Ramona!",  comedy    romance    european  ,4.8
3905,Larry the Cable Guy: Remain Seated,  comedy  ,6.6
3929,Saaho,  thriller    action    crime    drama    romance  ,5.5
3936,A Remarkable Tale,  comedy    drama    european  ,5.3
3948,Rising Phoenix,  documentation    sport  ,8.1
3951,NiNoKuni,  fantasy    animation    action    family    romance  ,6.1
3982,The Christmas Chronicles: Part Two,  comedy    family    fantasy  ,6.0
3986,The Yin-Yang Master: Dream of Eternity,  scifi    action    drama    fantasy  ,6.4
4022,A California Christmas,  romance    comedy    drama  ,5.8
4048,Seized,  thriller    action  ,5.2
4049,Roped,  romance    family    comedy    drama  ,5.4
4060,Grand-Daddy Day Care,  comedy    family  ,4.9
4068,The Man Who Feels No Pain,  action    comedy  ,7.3
4102,Forensic,  thriller    crime  ,6.8
4103,Badla,  thriller    crime    drama  ,7.8
4104,BLACKPINK: Light Up the Sky,  documentation    music  ,7.5
4112,Alice Júnior,  romance    animation    comedy    drama  ,6.8
4113,Rogue Warfare: Death of a Nation,  action    war  ,3.4
4135,All Day and a Night,  drama  ,5.9
4138,Bennett's War,  drama    sport  ,6.0
4156,A Babysitter's Guide to Monster Hunting,  fantasy    comedy    family  ,5.4
4160,Fearless,  comedy    scifi    documentation    animation    family  ,4.9
4163,Dragon Quest: Your Story,  action    animation    family    fantasy  ,6.5
4166,Bobbleheads: The Movie,  comedy    family    animation  ,2.4
4169,Good Sam,  drama    comedy  ,5.7
4178,Wish Upon a Unicorn,  fantasy    family  ,5.4
4179,Ludo,  crime    action    comedy    drama  ,7.6
4180,Dolly Parton's Christmas on the Square,  comedy    family  ,5.2
4197,I Am Vengeance: Retaliation,  action  ,3.4
4220,The Little Switzerland,  comedy    european  ,4.8
4223,Kevin Hart: Zero F**ks Given,  comedy  ,6.0
4229,Keeping the Bees,  drama  ,5.8
4255,Parchís: the Documentary,  documentation    music  ,6.8
4256,Double World,  action    fantasy  ,6.1
4276,Eric Andre: Legalize Everything,  comedy  ,6.1
4277,Cargo,  drama    fantasy    scifi  ,5.6
4283,Made in China,  drama    comedy    crime    romance    thriller    european  ,6.3
4322,The Stand at Paxton County,  thriller    drama  ,6.4
4361,Angela's Christmas Wish,  animation    comedy    drama    family  ,7.1
4362,Dolly Kitty and Those Twinkling Stars,  drama    comedy  ,5.5
4364,Father Soldier Son,  war    documentation  ,7.3
4367,Shawn Mendes: Live in Concert,  documentation    music  ,7.1
4392,The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,  documentation  ,7.1
4398,Rogue Warfare: The Hunt,  action  ,3.1
4402,A Second Chance: Rivals!,  family    drama    sport  ,4.7
4437,Kevin Hart's Guide to Black History,  comedy  ,5.5
4441,ReMastered: The Lion's Share,  music    documentation  ,6.9
4469,A Go! Go! Cory Carson Halloween,  family    animation    horror  ,6.3
4478,Sillu Karupatti,  drama    romance  ,8.0
4483,Adam Devine: Best Time of Our Lives,  comedy  ,5.9
4503,Saverio Raimondo: Il Satiro Parlante,  comedy  ,5.6
4538,Hikaru Utada Laughter in the Dark Tour 2018,  documentation    music  ,8.3
4541,Spirit Riding Free: Spirit of Christmas,  animation    action    comedy    drama    family  ,5.2
4563,Yeh Ballet,  drama  ,7.5
4574,Bombay Rose,  romance    animation    drama  ,6.2
4582,122,  horror    thriller  ,6.2
4583,A Trash Truck Christmas,  animation    comedy    family  ,5.5
4612,Sarvam Thaala Mayam,  drama    music  ,7.6
4661,The Beginning of Life 2: Outside,  documentation  ,8.1
4672,Uriyadi 2,  thriller    action  ,7.1
4680,Chippa,  drama  ,6.4
4702,Super Monsters Save Christmas,  animation    fantasy    family  ,4.8
4719,Classmates Minus,  comedy    drama  ,7.1
4721,Sethum Aayiram Pon,  family    drama  ,7.2
4723,The App That Stole Christmas,  drama    comedy  ,3.7
4733,Chico Bon Bon and the Very Berry Holiday,  family    animation  ,5.9
4734,Uncle Naji in UAE,  comedy    horror  ,5.0
4748,Nenjamundu Nermaiyundu Odu Raja,  comedy    romance    drama  ,6.1
4757,The Panti Sisters,  comedy    romance  ,5.6
4812,Bhai - Vyakti Ki Valli 2,  comedy    drama  ,7.8
4819,Luccas Neto in: Summer Camp,  comedy  ,2.8
4836,The Adam Project,  drama    action    comedy    scifi  ,6.7
4837,Operation Mincemeat,  drama    war  ,6.9
4838,The Power of the Dog,  drama    romance    western  ,6.9
4841,Metal Lords,  drama    comedy    music  ,6.7
4843,The Bubble,  comedy  ,4.7
4844,White Hot: The Rise & Fall of Abercrombie & Fitch,  documentation  ,5.6
4848,Windfall,  thriller    crime    drama  ,5.7
4849,"tick, tick... BOOM!",  drama  ,7.5
4853,Don't Look Up,  scifi    drama    comedy  ,7.2
4857,Apollo 10½:  A Space Age Childhood,  comedy    action    animation    romance    family    horror    drama    scifi  ,7.3
4861,Peter Rabbit 2: The Runaway,  fantasy    family    comedy    action    animation    crime    drama  ,6.2
4864,The Mystery of Marilyn Monroe: The Unheard Tapes,  documentation  ,6.2
4867,Bubble,  scifi    thriller    animation    action    drama    fantasy    romance    sport  ,6.5
4868,The Lost Daughter,  drama  ,6.7
4871,The Mitchells vs. the Machines,  animation    comedy    family    scifi  ,7.6
4872,Red Notice,  comedy    crime    thriller    action  ,6.3
4879,The Alpinist,  documentation  ,8.0
4881,The Harder They Fall,  action    drama    western  ,6.5
4889,The House,  animation    drama    comedy    thriller  ,6.8
4897,The Colony,  scifi    thriller    action  ,5.4
4901,Diana: The Musical,  drama  ,4.3
4903,The Hand of God,  drama  ,7.4
4905,The Unforgivable,  drama    crime  ,7.1
4906,The Guilty,  drama    thriller    action    crime  ,6.3
4911,Till Death,  horror    thriller  ,5.8
4916,Silverton Siege,  drama    action    crime    thriller  ,6.1
4920,Munich: The Edge of War,  drama    history    thriller  ,6.8
4922,Texas Chainsaw Massacre,  thriller    crime    horror  ,4.8
4923,Passing,  drama    thriller  ,6.7
4924,Downfall: The Case Against Boeing,  documentation  ,7.4
4928,Army of Thieves,  comedy    horror    action    crime    thriller    romance    scifi  ,6.4
4929,Gunpowder Milkshake,  action    crime    thriller  ,6.0
4931,The Sparks Brothers,  documentation    music    comedy    history  ,7.8
4936,Outlaws,  crime    thriller    action  ,6.9
4937,Army of the Dead,  horror    thriller    crime    scifi    action  ,5.7
4944,Bo Burnham: Inside,  comedy    drama    music    reality  ,8.7
4956,Bigbug,  scifi    comedy    fantasy  ,5.4
4957,Trust No One: The Hunt for the Crypto King,  crime    documentation  ,6.3
4959,Kate,  action    crime    drama    thriller  ,6.2
4960,Worth,  history    drama  ,6.8
4971,Last Man Down,  thriller    scifi    action  ,5.0
4973,No One Gets Out Alive,  thriller    horror    drama  ,5.3
4974,The Woman in the Window,  thriller    crime    drama  ,5.7
4979,Home Team,  comedy    sport  ,6.0
4984,After We Fell,  drama    romance  ,4.6
4989,The Vault,  action    thriller    crime    fantasy  ,6.4
4996,The Dig,  drama    history  ,7.1
5004,Prayers for the Stolen,  drama  ,7.3
5006,Zone 414,  thriller    scifi  ,4.9
5011,The Starling,  comedy    drama    fantasy  ,6.3
5014,My Little Pony: A New Generation,  fantasy    scifi    drama    comedy    family    animation    action  ,6.8
5015,Cosmic Sin,  scifi    action  ,2.5
5021,The Summit of the Gods,  animation    thriller    history    drama    sport  ,7.5
5022,Vivo,  comedy    animation    drama    family  ,6.7
5023,The Ice Road,  thriller    drama    action  ,5.6
5024,Robin Robin,  animation    comedy    family  ,7.2
5030,Through My Window,  romance    comedy    drama  ,5.4
5032,Long Story Short,  fantasy    comedy    romance  ,6.5
5037,A Cop Movie,  drama    action    crime    thriller    documentation  ,7.0
5043,Stowaway,  thriller    scifi    drama  ,5.6
5046,Fistful of Vengeance,  fantasy    action    crime    drama  ,4.5
5047,Procession,  documentation  ,7.2
5049,Bruised,  drama    sport    thriller  ,6.1
5050,Space Sweepers,  scifi    fantasy    action    drama  ,6.5
5057,Yes Day,  comedy    family  ,5.7
5064,"Bob Ross: Happy Accidents, Betrayal & Greed",  documentation  ,6.9
5068,The Lovebirds,  action    romance    comedy    crime    thriller  ,6.0
5069,Final Account,  documentation  ,7.1
5074,Awake,  scifi    thriller    action    drama  ,4.8
5077,Malcolm & Marie,  drama    romance  ,6.6
5078,The White Tiger,  drama    crime  ,7.1
5081,Fatherhood,  drama    comedy  ,6.6
5083,Moxie,  comedy    drama    music  ,6.7
5084,Rurouni Kenshin: The Beginning,  drama    action  ,7.4
5086,Ali Wong: Don Wong,  comedy  ,6.5
5089,Back to the Outback,  family    animation    comedy  ,6.5
5092,Tyler Perry's A Madea Homecoming,  comedy    drama    romance  ,5.6
5100,Beckett,  thriller    action    crime    drama  ,5.6
5101,7 Prisoners,  drama    crime  ,7.1
5109,SAS: Red Notice,  action    thriller  ,5.2
5115,Fever Dream,  drama    horror    thriller  ,5.4
5116,America: The Motion Picture,  action    animation    comedy    fantasy    history    scifi    war  ,5.6
5119,Love and Leashes,  romance    comedy  ,6.3
5121,My Best Friend Anne Frank,  drama  ,6.2
5129,Rita Moreno: Just a Girl Who Decided to Go for It,  documentation  ,7.7
5133,Sweet Girl,  drama    thriller    action  ,5.5
5134,Restless,  thriller    action    crime  ,5.8
5135,Rurouni Kenshin: The Final,  drama    action  ,7.2
5151,Wish Dragon,  fantasy    comedy    family    romance    animation  ,7.2
5161,Good on Paper,  romance    comedy  ,5.6
5167,Aileen Wuornos: American Boogeywoman,  drama    horror    thriller  ,3.6
5168,Aziz Ansari: Nightclub Comedian,  comedy  ,7.0
5170,Operation Varsity Blues: The College Admissions Scandal,  drama    documentation    crime  ,6.9
5179,Finding 'Ohana,  comedy    family    action  ,6.1
5181,To All the Boys: Always and Forever,  romance    comedy    drama  ,6.3
5184,He's All That,  comedy    romance  ,4.3
5186,Misha and the Wolves,  documentation    drama  ,6.7
5188,Never Back Down: Revolt,  drama    sport    action    crime  ,3.9
5192,Untold: Malice at the Palace,  crime    documentation    sport  ,7.5
5216,Pray Away,  documentation  ,6.5
5224,A Boy Called Christmas,  family    fantasy    drama  ,6.7
5236,The Seventh Day,  horror  ,4.5
5238,Thunder Force,  scifi    comedy    fantasy    action  ,4.4
5248,Outside the Wire,  scifi    thriller    action    fantasy  ,5.4
5249,The Loud House Movie,  animation    action    thriller    fantasy    drama    family    music    comedy  ,6.2
5263,Shaun the Sheep: The Flight Before Christmas,  comedy    animation    family  ,7.3
5277,The Kissing Booth 3,  romance    comedy  ,4.7
5283,Pelé,  documentation    sport  ,7.0
5285,Memories of a Murderer: The Nilsen Tapes,  documentation    crime  ,6.3
5289,Found,  documentation    drama  ,7.5
5295,Ride or Die,  thriller    drama    romance  ,5.5
5296,Monster,  drama    crime  ,6.5
5299,Mobile Suit Gundam Hathaway,  drama    romance    scifi    animation    action  ,6.6
5300,This Is the Night,  drama    comedy  ,5.5
5303,The Whole Truth,  horror    thriller    drama  ,5.1
5323,Skater Girl,  drama    family    sport  ,6.6
5324,Penguin Bloom,  drama  ,6.8
5339,The Devil Below,  horror    thriller  ,4.2
5353,Why Did You Kill Me?,  documentation    crime  ,5.6
5359,Broken Idol: The Undoing of Diomedes Díaz,  documentation    crime  ,6.1
5375,Blood Brothers: Malcolm X & Muhammad Ali,  documentation    history    sport  ,6.9
5384,Anonymously Yours,  romance    drama  ,5.7
5401,Chappelle's Home Team - Earthquake: Legendary,  comedy  ,6.7
5405,Dynasty Warriors,  action    fantasy  ,4.7
5425,Bright: Samurai Soul,  animation    action    fantasy    thriller  ,5.5
5436,Untold: Breaking Point,  documentation    sport  ,7.6
5440,A California Christmas: City Lights,  romance    comedy    drama  ,5.5
5452,Murder by the Coast,  crime    history    thriller    documentation  ,6.5
5454,Je suis Karl,  drama    thriller    european    romance  ,5.4
5462,Father Christmas Is Back,  comedy  ,4.5
5466,A Family,  crime    drama  ,7.0
5467,Ms. Pat: Y'all Wanna Hear Something Crazy?,  comedy  ,6.1
5473,Forever Rich,  drama    comedy    music    thriller    crime  ,5.5
5480,Cousins,  drama  ,6.9
5498,The Princess Switch 3: Romancing the Star,  romance    comedy    drama    family  ,5.5
5503,Biggie: I Got a Story to Tell,  music    documentation  ,6.8
5515,137 Shots,  crime    documentation  ,6.2
5520,The Women and the Murderer,  crime    documentation  ,6.4
5523,Adam by Eve: A Live in Animation,  drama    animation    music  ,6.5
5534,AI Love You,  romance    drama    scifi  ,4.4
5535,Amina,  drama    action    history  ,3.9
5538,Fate: The Winx Saga - The Afterparty,  comedy    fantasy    reality  ,6.2
5551,Kapil Sharma: I'm Not Done Yet,  comedy  ,6.9
5557,The Father Who Moves Mountains,  thriller    drama  ,5.5
5564,Untold: Caitlyn Jenner,  documentation    sport  ,6.4
5566,Lords of Scam,  documentation    crime  ,6.3
5574,Puff: Wonders of the Reef,  documentation    family  ,7.1
5582,The House of Flowers: The Movie,  drama    comedy  ,5.5
5588,Creating The Queen's Gambit,  documentation  ,6.9
5589,Octonauts: The Ring of Fire,  animation  ,6.5
5592,Honey Girls,  family    music    comedy  ,5.0
5595,Resort to Love,  comedy    romance  ,5.7
5597,Hate by Dani Rovira,  comedy  ,6.7
5613,Headspace Unwind you Mind,  animation    documentation  ,7.2
5630,This Little Love of Mine,  romance  ,5.3
5639,"Strip Down, Rise Up",  documentation  ,5.3
5682,Johnny Test's Ultimate Meatloaf Quest,  animation    family  ,7.0
5688,Sisters on Track,  documentation    sport  ,5.8
5692,Prime Time,  thriller    drama  ,5.2
5699,Thalaivii,  drama  ,5.9
5704,Convergence: Courage in a Crisis,  documentation  ,5.4
5713,Angèle,  music    documentation  ,7.0
5773,Stuck Apart,  comedy    drama  ,6.0
