key,title,genres,imdb_score
361,The Texas Chainsaw Massacre,horror,6.2
361,The Texas Chainsaw Massacre,crime,6.2
362,Fun with Dick and Jane,comedy,6.1
362,Fun with Dick and Jane,crime,6.1
363,TMNT,animation,6.2
363,TMNT,comedy,6.2
363,TMNT,family,6.2
363,TMNT,fantasy,6.2
363,TMNT,scifi,6.2
363,TMNT,action,6.2
364,Due Date,drama,6.5
364,Due Date,comedy,6.5
365,Cop Out,comedy,5.5
365,Cop Out,thriller,5.5
365,Cop Out,action,5.5
365,Cop Out,crime,5.5
368,3 Idiots,comedy,8.4
368,3 Idiots,drama,8.4
373,New York Minute,comedy,4.8
373,New York Minute,crime,4.8
373,New York Minute,family,4.8
373,New York Minute,romance,4.8
376,Dreamer: Inspired By a True Story,drama,6.8
376,Dreamer: Inspired By a True Story,family,6.8
376,Dreamer: Inspired By a True Story,sport,6.8
376,Dreamer: Inspired By a True Story,fantasy,6.8
377,Monster House,fantasy,6.6
377,Monster House,animation,6.6
377,Monster House,comedy,6.6
377,Monster House,family,6.6
378,Starsky & Hutch,comedy,6.1
378,Starsky & Hutch,crime,6.1
379,Tears of the Sun,drama,6.6
379,Tears of the Sun,thriller,6.6
379,Tears of the Sun,war,6.6
379,Tears of the Sun,action,6.6
382,The Cave,horror,5.1
382,The Cave,thriller,5.1
382,The Cave,scifi,5.1
382,The Cave,action,5.1
382,The Cave,european,5.1
384,The Texas Chainsaw Massacre: The Beginning,horror,5.8
384,The Texas Chainsaw Massacre: The Beginning,thriller,5.8
384,The Texas Chainsaw Massacre: The Beginning,documentation,5.8
385,I Am Sam,drama,7.6
386,The Spiderwick Chronicles,fantasy,6.5
386,The Spiderwick Chronicles,thriller,6.5
386,The Spiderwick Chronicles,action,6.5
386,The Spiderwick Chronicles,drama,6.5
386,The Spiderwick Chronicles,family,6.5
387,Rumor Has It...,comedy,5.5
387,Rumor Has It...,drama,5.5
387,Rumor Has It...,romance,5.5
390,I Now Pronounce You Chuck & Larry,comedy,5.9
390,I Now Pronounce You Chuck & Larry,romance,5.9
392,World Trade Center,thriller,6
392,World Trade Center,history,6
392,World Trade Center,drama,6
393,Premonition,thriller,5.9
393,Premonition,drama,5.9
